"9,5",像,影,鏡,自己,自分,他者,体験,自身,鑑賞,眼差し,高松次郎,述語的自己,主語的自己,ミケランジェロ・ピストレット,鏡像段階,セルフポートレート,精神病理学,肖像写真,港千尋,影踏み
"8,9",民族,芸能,子供,教材,カード,ワークショップ,音楽,利用,地域,地図,総合的学習,異文化理解,RFID,静止画,生きる力,ICタグ,ダイマクション・マップ,アメリア・アレナス,世界地図,
"4,7",FFT,文字,係数,変形,図形,点数,周波数特性,周波数特性,周波数帯,,,,,,,,,,,
5,描写,風景,絵画,要素,観察,世界,視点,光,構成,ポール・セザンヌ,パロマー,イタロ・カルヴィーノ,円形劇場,セルゲイ・エイゼンシュテイン,幾何学,三次元空間,Da'llOpaco,ケネス・クラーク,,
"4,7",アノテーション,タグ,本,読書,電子ブックリーダー,文章,付与,他者,本脈,アノテーション,電子書籍,フォークソノミー,マーキング,ウェブサイト,ナビゲーション,インタラクション,形態素解析,WordsMoveMe,,
"1,9",合奏,意識,演奏,ノエシス,音,主体,運動,体験,奏者,木村敏,ノエマ,円環,ヴィクトール・フォン・ヴァイツゼッカー,タッピング,エトムント・フッサール,認知科学,精神医学者,ゲシュタルトクライス,,
"1,6",モジュール,回転,歯車,演奏,再生,音楽,インターフェイス,電子楽器,モックアップ,シーケンサー,PC,LED,筐体,タイムライン,アコースティック楽器,TENORI-ON,,,,
"4,0",間,音,鐘,日本,空間,静寂,空白,縁,メディア・アート,ヴィデオ,インスタレーション,龍安寺,日本の美,水墨画,コンピュータアート,"LIFE-fluid,invisible,inaudible…",飯村隆彦,長谷川等伯,,
5,写真,物質,画像,撮影,絵画,プリント,再現,フィルム,被写体,銀塩写真,デジタルカメラ,デジタル写真,ハロゲン化銀,クロード・モネ,印画紙,1時間,ジョルジュ・スーラ,アンセル・アダムス,,
"2,4",メール,返信,システム,相手,文面,視点,人,状況,受信,携帯電話,光と影,NTT出版,ケータイ,Gmail,JSP,Skype,サーブレット,,,
"6,7",動き,ドミノ,オブジェクト,システム,動作,ユーザ,無線,インタラクション,ジェスチャー,エスパー,近距離無線通信,加速度センサ,LocoMoco,ドミノ倒し,無線通信,ユビキタス,人工筋肉,インタラクションデザイン,,
5,映画,ドキュメンタリー,カメラ,シネマヴェリテ,映像,制作,被写体,撮影,家族,キャメラ,ドキュメンタリー映画,ワイズマン,田原総一郎,松江哲明,カメラ眼,人間ピラミッド,河瀬直美,ロバート・クレーマー,,
0,フレーム,パフォーマティヴ,部屋,撹乱,現実,フィクション,芸術,観客,パフォーマンス,表現,ジェンダー,ジュディス・バトラー,ジェフ・ウォール,アーカイヴ,公共空間,天板,スーザン・ソンタグ,パフォーマンス・アート,造形芸術,グローブ座
7,デザイン,照明,関係,スイッチ,物理,要素,対応,認知,文脈,リフレクター,導電,認知科学,アイコン,ロバート・L・ソルソ,LED照明,照明器具,コンセントプラグ,ピクトグラム,,
7,Legacy-FreeDesign,インタラクション,インターフェイス,Bluetooth,スマートフォン,Wi-Fi,IoT,デバイス,モバイル,モノ,接続,機能,人,インターネット,,,,,,
1,発音記号,擬音語,国際音声記号,音声言語,音声ファイル,西洋音楽,現代音楽,調音位置,調性,発音,言語,置換,音楽,日本語,音,構造,意味,作品,詩,
"6,7",ツール,設計,ケース,ワークショップ,箱,パラメータ,データ,素材,レーザー,MDF,FabLab,Illustrator,3D,ものづくり,f.Labo,,,,,
"7,2",プラントプラス,デジタル技術,植物,ストレス,恋人,モニタ,ジェスチャ,同僚,サービスデザイン,プロダクトデザイン,インタラクション,,,,,,,,,
"2,4",ユーザー,コミュニケーション,生物,情報,行動,可視化,空間,人間,変化,虫篭,対人関係,Becky!,プラグイン,メーラー,Ruby,電子メール,実空間,MGoo,社会的地位,
"5,6",入力装置,アニメーション,人形,妖怪,世界,狢,作品,ユーザ,入力装置,不思議な世界,ハリー・ポッター,千と千尋の神隠し,LED,Swamped!プロジェクト,水木しげる,ロジェ・カイヨワ,,,,
"4,1",音声,話,声,MAX/MSP,話者認識,情報処理,特徴,スペクトル,実験,個人,話者認識,LPC,音声合成,インスタレーション,音声認識,プログラミング言語,ID,音声分析,,
"6,9",表現,映像,支持体,感覚,投影,線,行為,物質,インク,自動筆記,丸ペン,ジグマー・ポルケ,ワシリー・カンディンスキー,粘度,河口龍夫,ラテックス,幾何学,ネイルカラー,,
5,映像,マルチ,ソフトウェア,表現,出力,再生,開発,編集,タイムライン,DVD,レンダリング,リアルタイム処理,3x3eyes,HDV映像,ファンタズマゴリア,,,,,
"4,8",学習,ラーニング,携帯端末,コンテンツ,研究,モデル,教育,情報,PC,PDA,GPS,学習教材,メタファー,ソフトピアジャパン,WBT(Web-BasedTraining),CLIE,,,,
"0,4",アプリケーション,OSC(OpenSoundControl),接続,ソフトウェア,フレームワーク,分散,データ,パケット,DAMAフレームワーク,IPアドレス,メディアアート,オーサリングソフト,GUI,,,,,,,
"7,9",道具,能動,人,アフォーダンス,人間,食器,皿,アフォード,移動,体脂肪,着ぐるみ,右利き,Spice-MemoriesofCurry,裏と表-本音と建前-,照光式プッシュボタン,HarmonicArtifact(HARMONICAR),電化製品,回転寿司,,
"0,9",鑑賞,物,提示,駆動,作品,痕跡,情報,存在,砂利,他者,ソレノイド,筐体,TheWhoManNeverThrewAnythingAway,プロジェクション,AVR,,,,,
4,画像,サイト,階層,配置,ページ,サムネイル,リンク,表示,視覚,ウェブサイト,ウェブページ,URL,ブログ,ブラウジング,Google,スクリーンショット,ショッピングサイト,,,
"4,9",植物,発芽,種,温度,変化,環境,人,映像,作品,制作,ハウス栽培,水耕栽培,DNA,PASONAO2,季節,相互作用,サーミスタ,,,
1,インターフェース,コンピュータ,操作,音,制作,文字,波形,モデル,音楽,データ,DAW,プログラミング言語,MIDI,ProcessC,アプリケーションソフトウェア,GUI,西洋音楽,MAX/MSP,,
"1,4",ファイル,サウンド,コンポジション,ユーザー,ソフトウェア,オヴァル,音楽,制作,ダウンロード,DAW,テクスチャー,CD,二次創作,リミックス,Jamglue,ウェブページ,,,,
"0,9",植物,ボタニカルアート,表現,科学,芸術,眼差し,花,作品,図譜,フローラ,ワイヤーフレーム,ペダニウス・ディオスコリデス,水彩絵の具,古写本,大航海時代,博物画,植物学,マッキントッシュ,植物図鑑,
"7,9",文字,嵯峨本,テキスト,活字,フォント,入力,接続,文章,要素,ベジェ曲線,伊勢物語,活版印刷,DTP,アウトラインフォント,Illustrator,永原康史,写真植字機,アプリケーション,,
"4,5",映像,インターネット,ネット,VOICE,PORTRAIT,鑑賞,メディア,表現,作品,作家,YouTube,Tumblr,ニコニコ動画,動画共有サイト,PC,Twitter,自己紹介,セルフポートレイト,,
4,空間,都市,ウェブ,TheAccessorofSpace,地域,混在,情報,場所,データベース,現実,携帯端末,GPS,アウラ,ブログ,ウォークマン,ファスト風土化,AUDIOWALKGUSEN,,,
2,南原食堂,食堂,活動,シェア,シェアハウス,中心,展示,リレーショナル,ブリオー,形,ニコラ・ブリオー,リクリット・ティラバーニャ,シェアメイト,GoSlowcafe,SantiagoSierra,里山,福岡アジア美術館,,,
4,試合,野球,情報,選手,ルール,データ,観客,中継,観戦,質問,アプリケーション,データベースサーバ,スマートフォン,ワンセグ,ナゴヤドーム,スポーツ観戦,得点圏打率,電光掲示板,,
"5,9",アニメ,展示,マンガ,アニメーション,施設,イベント,作品,展覧,文化,手塚治虫,三鷹の森ジブリ美術館,水木しげるロード,アソビ,ミュージアム,まちづくり,アニメーションミュージアム,実行委員会,,,
"6,7",EF LENS,AP-LENS,パーソナルファブリケーション,生態系,Fab,MetaProducts,Web,製品,レンズ,生産,カメラ,,,,,,,,,
"7,9",ロフト,IAMAS,デザイン思考,メタデザイン,バウハウス,プラットフォーム,アーバンスタディ,IDEO,パーティション,MITMediaLab,デザイン,空間,学生,活動,社会,環境,人間,建築,,
4,変数,構成,システム,プロパティ,定数,オブジェクト,プログラミング,画像,メソッド,操作,openFrameworks,オブジェクト指向,Superkinesis,アプリケーション,Processing,ノーテーション,CaseyReas,,,
"6,9",気配,情報,動き,振る舞い,言語,動作,生物,運動,知覚,インタラクション,ノンバーバル,WaterLamp,アクチュエーター,だるまさんがころんだ,ソレノイド,インスタレーション,Terrain,バックグラウンド,アンビエント,
5,写真,撮影,カメラ,被写体,自分,自己,視線,イメージ,鑑賞,映像,自分撮り,セルフポートレート,リー・フリードランダー,リチャード・アヴェドン,プリント倶楽部,XLH1,イポリット・バヤール,QV-10,,
1,音響,音,サウンド,デバイス,アート,作品,反応,生成,関係,電子デバイス,分散システム,ミニマル,サイン波,音響機器,ポリリズム,FelixHess,マイクロコンピュータ,SoundCreatures,,
5,アニメーション,解像度,作品,映像,DigitalTableau,コンテンツ,ループ,制作,再生,手描きアニメーション,CG,SDサイズ,クオリティ,アブストラクト,可畏キモノ,抽象絵画,,,,
"2,9",劇場,眼差し,観客,意識,視線,存在,世界,他者,身体,舞台,ルソー,プロセニアム・アーチ,能舞台,テアトロ・オリンピコ,共時性,田中泯,透視図法,アリストテレス,此岸,
6,マウス,マウスパッド,マウスカーソル,高齢,操作,動作,ユーザ,加速度センサ,リフレクタ,回路図,PC,インタフェイス,ポインティング,ダブルクリック,ウインドウシステム,,,,,
"0,4",ミニアチュール,携帯電話,電話,アニメーション,ディスプレイ,再生,画像,FLASH,モチーフ,FLASH,インタラクション,細密画,PC,レイヤー,PSP,携帯機器,水彩絵具,,,
"6,9",熟練,筆,躍度,上肢,動作,圧,角度,姿勢,比較,軌道,加速度センサー,標準偏差,単位時間,モーションキャプチャ,最小値,評価関数,最大値,ペンタブレット,,
1,演奏,音,ピエール・ブーレーズ,作曲,創作,音楽,影,対話,スピーカー,レポン,レイヤー,磁気テープ,IRCAM,トランジシオン,音価,D3音,応唱,電子音楽,1950年代,カールハインツ・シュトックハウゼン
2,都市,人々,知覚,交通網,人,イメージ,移動,空間,生活,経験,ディスコミュニケーション,パーソナルスペース,トラフィック,心理学,ジリアンウェアリング,スコット=ソーナ・スニッブ,NHK,映画技法のリテラシー,都市のイメージ/The Image of the Cit,
1,コンピュータ,演奏,音,音楽,音響,手法,録音,楽器,ソフトウェア,エラー,サーキットベンディング,スクラッチ,音響合成,DAW,MAX/MSP,SuperCollider,エディット,CD,ラップトップ,自動演奏
2,場所,旅館,都市,大垣,環境,人,生活,コミュニティ,社会,クリストファー・アレグザンダー,地域コミュニティ,セミラティス,パターン・ランゲージ,ツリー構造,アーカイヴ,ダイアグラム,駅前旅館,伊藤ていじ,ルーティン,
5,映像,顔,自分,自身,カメラ,鑑賞,撮影,人物,ANOTHER FACE,ATM,ICONTACT,Machine,picasa,デジタルカメラ,,,,,,
9,世界,視界,表現,ハエ,作品,映像,動き,視覚,鑑賞,光,環世界,視覚野,ジェームズ・ギブソン,ヤーコプ・フォン・ユクスキュル,プロジェクション,アフォーダンス,フレームレート,シャボン玉,セルゲイ・エイゼンシュテイン,Webカメラ
"1,0",RADIOSCAPER,ラジオ・ソナー,ラジオ放送,AMラジオ,インスタレーション,ヘッドマウントディスプレイ,サウンドスケープ,ラジオ,電波,空間,アンテナ,受信,音,,,,,,,
"8,6",Arduino,LED,Shield,フィジカルコンピューティング,PWM,可視化,アプリケーション,ステッピングモータ,プロトタイピング,API,制御,波形,ワークショップ,学者,信号,ツール,,,,
"0,9",対象,体験,距離,手,物体,イメージ,変化,円錐,感覚,作品,AudibleDistance,LeapMotion,アフォーダンス,3D,TurnOver,ジェームズ・ギブソン,距離空間,,,
"4,9",図書館,個人蔵書,文庫,分類,書物,利用,カテゴリー,本,書架,アビ・ヴァールブルク,認知心理学,アリストテレス,閉架,専門図書館,日本十進分類法（NDC）,アレクサンドリア図書館,大学図書館,大宅壮一文庫,国際十進分類法（UDC）,
"5,1",音,画像,楽曲,生成,音楽,システム,特徴,楽譜,自動作曲,図形楽譜,オクターヴ,RGB,閾値,記譜法,フォトアルバム,,,,,
"0,5",実空間,Kinect,シュレミール,プロジェクター,額装,プロジェクション,インスタレーション,赤外線カメラ,UnderScan,影,鑑賞,映像,作品,投影,実体,表現,絵画,壁,,
"6,4",ジェスチャ,FtoF,人体通信,サポータ,情報操作,PC,非言語コミュニケーション,Arduino,ハグ,ヘッドフォン,情報,共有,コンピュータ,操作,相手,コミュニケーション,手,,,
